Position,Predicted Value
0,0
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,0
900,0
1000,0
1100,0
1200,0
1300,0
1400,0
1500,0
1600,0
1700,0
1800,0
1900,0
2000,0
2100,0
2200,0
2300,0
2400,0
2500,0
2600,0
2700,0
2800,0
2900,2.859499931
3000,11.24740028
3100,0
3200,0
3300,0
3400,0
3500,0
3600,0
3700,0
3800,0
3900,0
4000,0
4100,0
4200,0
4300,0
4400,0
4500,0
4600,0
4700,0
4800,0
4900,0
5000,0
5100,0
5200,0
5300,0
5400,0
5500,0
5600,0
5700,0
5800,0
5900,0
6000,0
6100,0
6200,0
6300,0
6400,0
6500,0
6600,0
6700,0
6800,0
6900,0
7000,0
7100,0
7200,0
7300,1.991400003
7400,18.55260086
7500,4.51240015
7600,4.650000095
7700,12.27799988
7800,5.945899963
7900,13.88920021
8000,8.53960037
8100,0
8200,0
8300,0
8400,0
8500,0
8600,0
8700,0
8800,0
8900,0
9000,0
9100,0
9200,0
9300,0
9400,0
9500,0
9600,0
9700,0
9800,0
9900,0
10000,0
10100,0
10200,0
10300,0
10400,0
10500,0
10600,0
10700,0
10800,0
10900,0
11000,0
11100,0
11200,0
11300,0
11400,0
11500,0
11600,0
11700,0
11800,0
11900,0
12000,0
12100,0
12200,0
12300,5.34250021
12400,0
12500,0
12600,12.34549999
12700,15.79559994
12800,0
12900,19.56830025
13000,16.19059944
13100,0
13200,0
13300,6.981699944
13400,0
13500,0
13600,15.6566
13700,19.65649986
13800,0
13900,0
14000,0
14100,0
14200,0
14300,0
14400,0
14500,0
14600,0
14700,0
14800,0
14900,0
15000,0
15100,0
15200,0
15300,0.358900011
15400,0.0407
15500,0
15600,0
15700,11.22850037
15800,14.32479954
15900,0
16000,20.02689934
16100,8.559200287
16200,0
16300,5.862199783
16400,0
16500,0
16600,0
16700,9.350299835
16800,14.49969959
16900,0
17000,0
17100,0
17200,0
17300,0
17400,0
17500,0
17600,0
17700,0
17800,0
17900,0
18000,0
18100,0
18200,0
18300,0
18400,0.225899994
18500,0
18600,0
18700,0
18800,14.37049961
18900,0.166600004
19000,16.42900085
19100,19.56139946
19200,0
19300,0
19400,19.87100029
19500,0
19600,0
19700,0
19800,18.1760006
19900,11.86390018
20000,0
20100,0
20200,0
20300,0
20400,0
20500,0
20600,0
20700,0
20800,0
20900,0
21000,0
21100,0
21200,0
21300,0
21400,0
21500,3.810100079
21600,0
21700,0
21800,11.30910015
21900,14.68630028
22000,0
22100,20.33539963
22200,15.29959965
22300,0
22400,0
22500,21.49570084
22600,0
22700,0
22800,0
22900,14.87360001
23000,0
23100,0
23200,0
23300,0
23400,0
23500,0
23600,0
23700,0
23800,0
23900,0
24000,0
24100,0
24200,0
24300,0
24400,0
24500,0
24600,0
24700,0
24800,0
24900,12.98130035
25000,15.73989964
25100,0
25200,20.49469948
25300,10.76869965
25400,0
25500,0
25600,6.835499763
25700,0
25800,0
25900,4.447800159
26000,20.62919998
26100,0
26200,0
26300,0
26400,0
26500,0
26600,0
26700,0
26800,0
26900,0
27000,0
27100,0
27200,0
27300,0
27400,0
27500,0
27600,6.799399853
27700,0
27800,0
27900,0
28000,13.22019958
28100,8.366200447
28200,1.326500058
28300,21.28849983
28400,0
28500,13.20049953
28600,15.70259953
28700,0
28800,0
28900,0
29000,11.04440022
29100,12.58979988
29200,0
29300,0
29400,0
29500,0
29600,0
29700,0
29800,0
29900,0
30000,0
30100,0
30200,0
30300,0
30400,0
30500,0
30600,0
30700,4.442599773
30800,0
30900,0
31000,0
31100,15.08860016
31200,0
31300,17.87010002
31400,19.83790016
31500,0
31600,0
31700,25.23320007
31800,0
31900,0
32000,0
32100,13.9847002
32200,6.50150013
32300,0
32400,0
32500,0
32600,0
32700,0
32800,0
32900,0
33000,0
33100,0
33200,0
33300,0
33400,0
33500,0
33600,0
33700,0
33800,4.892300129
33900,0
34000,0
34100,10.47929955
34200,16.45190048
34300,0
34400,19.81690025
34500,17.09180069
34600,0
34700,0
34800,7.599299908
34900,0
35000,0
35100,13.64570045
35200,7.66230011
35300,0
35400,0
35500,0
35600,0
35700,0
35800,0
35900,0
36000,0
36100,0
36200,0
36300,0
36400,0
36500,0
36600,0
36700,0
36800,0
36900,0
37000,0
37100,0
37200,5.39659977
37300,0
37400,0
37500,0
37600,0
37700,0
37800,0
37900,0
38000,0
38100,0
38200,0
38300,25.02199936
38400,27.76269913
38500,20.78809929
38600,25.05050087
38700,26.57710075
38800,25.02199936
38900,27.76269913
39000,20.78809929
39100,25.05050087
39200,26.57710075
39300,25.02199936
39400,27.76269913
39500,20.78809929
39600,25.05050087
39700,7.745200157
39800,1.978000045
39900,0.267100006
40000,0.1052
40100,0
40200,19.12870026
40300,17.65439987
40400,0
40500,0
40600,0
40700,0.26879999
40800,0
40900,0
41000,0
41100,0
41200,0
41300,0
41400,0
41500,0
41600,0
41700,0
41800,0
41900,0
42000,0
42100,0
42200,0
42300,0
42400,0
42500,0
42600,0
42700,0
42800,0
42900,0
43000,0
43100,0
43200,0
43300,0
43400,0
43500,0
43600,0
43700,0
43800,0
43900,0
44000,0
44100,0
44200,0
44300,0
44400,0
44500,0
44600,0
44700,0
44800,0
44900,0
45000,0
45100,0
45200,0
45300,0
45400,0
45500,0
45600,0
45700,0
45800,0
45900,0
46000,0
46100,0
46200,0
46300,0
46400,0
46500,0
46600,0
46700,0
46800,0
46900,0
47000,0
47100,0
47200,0
47300,0
47400,0
47500,0
47600,0
47700,0
47800,0
47900,0
48000,0
48100,0
48200,0
48300,0
48400,0
48500,0
48600,0
48700,0
48800,0
48900,0
49000,0
49100,0
49200,0
49300,0
49400,0
49500,0
49600,0
49700,0
49800,0
49900,0
50000,0
50100,0
50200,0
50300,1.845099926
50400,0.418800116
50500,0
50600,0
50700,0
50800,0
50900,0
51000,0
51100,0
51200,0
51300,0
51400,0
51500,0
51600,0
51700,0
51800,0
51900,0
52000,0
52100,0
52200,0
52300,0
52400,0
52500,0
52600,0
52700,0
52800,0
52900,0
53000,0
53100,0
53200,0
53300,0
53400,0
53500,0
53600,0
53700,0
53800,0
53900,0
54000,0
54100,0
54200,0
54300,0
54400,4.321899891
54500,0
54600,0
54700,0
54800,0
54900,0
55000,0
55100,0
55200,0
55300,0
55400,0
55500,0
55600,0
55700,0
55800,0
55900,0
56000,0
56100,0
56200,0
56300,0
56400,0
56500,0
56600,0
56700,0
56800,0
56900,0
57000,0
57100,0
57200,0
57300,0
57400,0
57500,0
57600,0
57700,0
57800,0
57900,0
58000,26.53079987
58100,23.57530022
58200,5.109899998
58300,0
58400,0
58500,0
58600,0
58700,0
58800,0
58900,0
59000,0
59100,0
59200,0
59300,0
59400,0
59500,0
59600,0
59700,0
59800,0
59900,0
60000,0
60100,0
60200,0
60300,0
60400,0
60500,0
60600,0
60700,0
60800,0
60900,0
61000,0
61100,0
61200,0
61300,0
61400,17.78079987
61500,10.26900005
61600,0
61700,0
61800,0
61900,0
62000,17.96750069
62100,17.8743
62200,0
62300,0
62400,0
62500,14.85179996
62600,0
62700,0
62800,0
62900,0
63000,0
63100,0
63200,0
63300,0
63400,0
63500,0
63600,0
63700,0
63800,0
63900,0
64000,0
64100,0
64200,0
64300,0
64400,0
64500,0
64600,0
64700,0
64800,0
64900,0
65000,0
65100,0
65200,0
65300,0
65400,0
65500,0
65600,0
65700,0
65800,0
65900,0
66000,0
66100,0
66200,0
66300,0
66400,0
66500,0
66600,0
66700,0
66800,0
66900,0
67000,0
67100,0
67200,0
67300,0
67400,0
67500,0
67600,0
67700,0
67800,0
67900,0
68000,0
68100,0
68200,0
68300,0
68400,0
68500,0
68600,0
68700,0
68800,0
68900,0
69000,0
69100,0
69200,0
69300,0
69400,0
69500,0
69600,0
69700,0
69800,0
69900,0
70000,0
70100,0
70200,0
70300,0
70400,0
70500,0
70600,0
70700,0
70800,0
70900,0
71000,0
71100,0
71200,0
71300,0
71400,0
71500,0
71600,0
71700,0
71800,0
71900,0
72000,0
72100,0
72200,0
72300,0
72400,0
72500,0
72600,0
72700,0
72800,0
72900,0
73000,0
73100,0
73200,0
73300,0
73400,0
73500,0
73600,0
73700,0
73800,0
73900,0
74000,0
74100,0
74200,0
74300,0
74400,0
74500,0
74600,0
74700,0
74800,0
74900,0
75000,0
75100,0
75200,0
75300,0
75400,0
75500,0
75600,0
75700,0
75800,0
75900,0
76000,0
76100,0
76200,0
76300,0
76400,0
76500,0
76600,0
76700,0
76800,0
76900,0
77000,0
77100,0
77200,0
77300,0
77400,0
77500,0
77600,0
77700,0
77800,0
77900,6.351200104
78000,10.18939972
78100,10.58560002
78200,11.3536
78300,0
78400,0
78500,0
78600,0
78700,0
78800,0
78900,0
79000,0
79100,0
79200,0
79300,0
79400,0
79500,0
79600,0
79700,0
79800,0
79900,0
80000,0
80100,0
80200,0
80300,0
80400,0
80500,0
80600,0
80700,0
80800,0
80900,0
81000,0
81100,0
81200,0
81300,0
81400,0
81500,0
81600,0
81700,0
81800,0
81900,0
82000,0
82100,0
82200,0
82300,0
82400,0
82500,0
82600,0
82700,0
82800,0
82900,0
83000,0
83100,0
83200,0
83300,0
83400,0
83500,0
83600,0
83700,0
83800,0
83900,0
84000,0
84100,0
84200,0
84300,0
84400,0
84500,0
84600,0
84700,0
84800,0
84900,0
85000,0
85100,0
85200,0
85300,0
85400,0
85500,0
85600,0
85700,0
85800,0
85900,0
86000,0
86100,0
86200,0
86300,0
86400,0
86500,0
86600,0
86700,0
86800,0
86900,0
87000,0
87100,0
87200,0
87300,0
87400,0
87500,0
87600,0
87700,0
87800,0
87900,0
88000,0
88100,0
88200,0
88300,2.58569908
88400,1.138699532
88500,0
88600,0
88700,0
88800,0
88900,0
89000,0
89100,0
89200,0
89300,0
89400,0
89500,0
89600,0
89700,0
89800,0
89900,0
90000,0
90100,0
90200,0
90300,0
90400,0
90500,0
90600,0
90700,0
90800,0
90900,0
91000,0
91100,0
91200,0
91300,0
91400,0
91500,0
91600,0
91700,0
91800,0
91900,0
92000,0
92100,0
92200,0
92300,0
92400,0
92500,0
92600,0
92700,0
92800,0
92900,0
93000,0
93100,0
93200,0
93300,0
93400,0
93500,0
93600,0
93700,0
93800,0
93900,0
94000,0
94100,0
94200,0
94300,0
94400,0
94500,0
94600,0
94700,0
94800,0
94900,0
95000,0
95100,0
95200,0
95300,0
95400,0
95500,0
95600,0
95700,0
95800,0
95900,19.28339958
96000,21.43390083
96100,22.02429962
96200,21.71859932
96300,21.83090019
96400,22.20030022
96500,19.83600044
96600,0
96700,0
96800,0
96900,0
97000,0
97100,0
97200,0
97300,0
97400,0
97500,0
97600,0
97700,0
97800,0
97900,0
98000,0
98100,0
98200,0
98300,0
98400,0
98500,0
98600,0
98700,0
98800,0
98900,0
99000,0
99100,11.17560005
99200,13.37829971
99300,0
99400,0
99500,0
99600,0
99700,0
99800,0
99900,0
100000,0
100100,0
100200,0.240899995
100300,0
100400,0
100500,0
100600,0
100700,0
100800,0
100900,0
101000,0
101100,0
101200,0
101300,0
101400,0
101500,0
101600,0
101700,0
101800,0
101900,0
102000,0
102100,0
102200,0
102300,0
102400,0
102500,0
102600,0
102700,0
102800,0
102900,0
103000,0
103100,0
103200,0
103300,0
103400,0
103500,0
103600,0
103700,0
103800,0
103900,0
104000,0
104100,0
104200,0
104300,0
104400,0
104500,0
104600,0
104700,0
104800,0
104900,0
105000,0
105100,0
105200,0
105300,0
105400,0
105500,0
105600,0
105700,0
105800,0
105900,0
106000,0
